"_federal_accountability_status"	overall_grade	additional_credit	environment_grade	peer_index_	overall_score	principal	progress_category_score	dbn	_progress_report_grade	school	environment_category_score	performance_category_score	progress_grade	district	progress_report_type	performance_grade	_quality_review_score	school_level_	_school_support_organization
In Good Standing	D	0	C	63.28	31.9	Thomas Staebell	18.1	01M015	B	P.S. 015 ROBERTO CLEMENTE	5.8	8	C	1	ESMS	C	Proficient	Elementary School	ICI
In Good Standing	B	0	B	50.39	50.8	Ivan Kushner	30.4	01M019	B	P.S. 019 ASHER LEVY	9	11.4	B	1	ESMS	B	Well Developed	Elementary School	ESO
In Need of Improvement - Year 2	A	2.25	A	57.37	69.7	Felix Gil	37.7	01M020	B	P.S. 020 ANNA SILVER	9.7	20	A	1	ESMS	A	Well Developed	Elementary School	ICI
In Good Standing	B	6.75	D	58.96	59.8	Joyce Stallings Harte	37.9	01M034	C	P.S. 034 FRANKLIN D. ROOSEVELT	4.5	10.6	A	1	ESMS	C	Well Developed	K-8	ICI
In Good Standing	F	0	B	53.00	26.5	Darlene Despeignes	7.6	01M063	C	P.S. 063 WILLIAM MCKINLEY	7.6	11.3	F	1	ESMS	C	Proficient	Elementary School	ICI
In Good Standing	A	2.25	A	60.63	79.7	Sandra Litrico Pappas	46.4	01M064	C	P.S. 064 ROBERT SIMON	12.1	18.9	A	1	ESMS	A	Well Developed	Elementary School	ESO
In Good Standing	C	1.5	A	42.56	41.2	Irene Quvus	13.4	01M110	B	P.S. 110 FLORENCE NIGHTINGALE	9.4	16.9	D	1	ESMS	A	Well Developed	Elementary School	ESO
In Good Standing	B	1.5	C	54.03	53	Loretta Caputo	31.3	01M134	B	P.S. 134 HENRIETTA SZOLD	5.8	14.4	B	1	ESMS	B	Proficient	Elementary School	ICI
In Good Standing	B	1.5	B	61.63	55.2	Melissa Rodriguez	29.8	01M137	B	P.S. 137 JOHN L. BERNSTEIN	7.8	16.1	B	1	ESMS	A	Proficient	Elementary School	ICI
In Need of Improvement - Year 1	B	4.5	B	62.46	64.8	Esteban Barrientos	36	01M140	B	P.S. 140 NATHAN STRAUS	9	15.3	B	1	ESMS	B	Proficient	K-8	ESO
In Good Standing	A	1.5	B	65.14	69.8	Rhonda Levy	44.6	01M142	C	P.S. 142 AMALIA CASTRO	8.3	15.4	A	1	ESMS	B	Well Developed	Elementary School	ICI
In Good Standing	A	0	A	27.10	71.2	Ling Ling Chou	35.4	01M184	B	P.S. 184M SHUANG WEN	13.3	22.5	B	1	ESMS	A	Proficient	K-8	New Visions
In Good Standing	A	1.5	C	64.92	70.8	Barbara Slatin	45.5	01M188	A	P.S. 188 THE ISLAND SCHOOL	4.6	19.2	A	1	ESMS	A	Well Developed	K-8	ESO
In Good Standing	C	0.75	F	2.98	43.5	Hoa Tu	25	01M292	B	HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES	3.4	14.3	C	1	ESMS	B	Proficient	Middle School	ESO
In Good Standing	B	5	B	2.07	55.2	Hoa Tu	28.6	01M292		HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES	6.2	15.4	B	1	HS	B	Proficient	High School	ESO
In Good Standing	C	0	B	3.00	48.2	George Morgan	23.8	01M301	B	TECHNOLOGY ARTS AND SCIENCES STUDIO	8.1	16.3	C	1	ESMS	B	Underdeveloped with Proficient Features	Middle School	ESO
In Good Standing	B	1.5	B	34.21	47	Robin Williams	29.3	01M315	A	THE EAST VILLAGE COMMUNITY SCHOOL	7.9	8.3	B	1	ESMS	C	Proficient	Elementary School	ESO
In Good Standing	B	3.75	B	2.92	58.1	Cynthia Kerr	31.6	01M332	C	UNIVERSITY NEIGHBORHOOD MIDDLE SCHOOL	7.5	15.2	B	1	ESMS	B	Proficient	Middle School	ESO
In Good Standing	B	3	B	3.28	62.4	Mauriciere Degovia	32.7	01M345		COLLABORATIVE ACADEMY OF SCIENCE TECHNOLOGY & LAW	9.3	17.4	B	1	ESMS	B	Well Developed	Middle School	ESO
In Good Standing	B	0	A	35.74	51.5	Maria Velez Clarke	31.1	01M361	B	CHILDREN'S WORKSHOP SCHOOL	9.4	11	B	1	ESMS	C	Proficient	Elementary School	ICI
